sku,description,name,web,preis,"eu-vn-kurse
",gewicht kg,vn-preis,kundenpreis,Posted
,,,,,,,0,,
,,,,,,,0,,
,,,,,,,0,,
1561328994-1,"Height = 8,5''

Quarz movement
Five leaves are decorating the lovely carving
10 different melodies which are changing each hour
Automatic night time shut off",Fünflaub 22cm,https://www.uhren-park.de/product_info.php/info/p562_Eble--Fuenflaub-22cm--85990000.html,"59,99","26,5","3,5","2136,96","2,564,352",
1561329122-14,"Height = 12''

Quartz movement
Five leaves are decorating the lovely carving
12 different melodies which are changing each hour
Automatic night time shut off
Shut off lever for music or cuckoo sound
Packed in an extravagant gift packaging",Fünflaub 30cm,https://www.uhren-park.de/product_info.php/info/p1623_Eble--Fuenflaub-30cm--55400000.html,"69,99","26,5","3,5","2401,96","2,882,352",
1561329213-30,"Height = 8,5''

Quarz movement
Five leaves are decorating the lovely carving
Hand painted
10 different melodies which are changing each hour
Automatic night time shut off
Packed in an extravagant",Bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p3778_Eble--Bemalt-22cm--85990001.html,"69,99","26,5","3,5","2401,96","2,882,352",
1561329228-37,"Hight x Width = 24 x 20cm

Black Forest house
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor
Wooden hands",Fachwerkhaus 24cm,https://www.uhren-park.de/product_info.php/info/p8835_Eble--Fachwerkhaus-24cm--60810000.html,"89,9","26,5","3,5","2,929,575","3515,49",
1561329657-120,"Height x Width = 25 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Heidi Haus II 25cm,,"94,9","26,5","3,5","3,062,075","3674,49",
1561329641-119,"Height x Width = 25 x 20cm
Quarz mechanism
Cuckoo call to each full hour
Automatic night time shut off with light sensor
Music work with 12 melodies
Waterfall sound and echo in back while cuckoo's call
Solid wood
Hand made
Hand shingeld roof
Wooden hands",Heidi Haus 25cm,,"94,9","26,5","3,5","3,062,075","3674,49",
1561329100-12,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Five leaves are decorating the lovely carving. Lovely hand painted flowers.",Bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p496_Engstler--Bemalt-22cm--522-6-Q.html,95,"26,5","3,5","3,064,725","3677,67",
1561329098-11,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Five leaves are decorating the lovely carving. Lovely hand painted flowers.",Edelweis bemalt 22cm,https://www.uhren-park.de/product_info.php/info/p497_Engstler--Edelweis-bemalt-22cm--522-10-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329115-13,"Height = 8,5''
Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor

Two squirrels are sitting facing one another and are watching the time",Eichhörnchen 22cm,https://www.uhren-park.de/product_info.php/info/p495_Engstler--Eichhoernchen-22cm--622-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329330-78,"Height x Width = 25 x 17cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",5-Laub bemalt 25cm,https://www.uhren-park.de/product_info.php/info/p16855_Engstler--5-Laub-bemalt-25cm--522-21-Q.html,96,"26,5","3,5","3,091,225","3709,47",
1561329332-79,"Height x Width = 25 x 17cm

Solid wood
Hand made
Quarz mechanism
Cuckoo call to each full hour
Waterfall sound and echo in back while cuckoo's call
Automatic night time shut off with light sensor",5-Laub geflammt 25cm,https://www.uhren-park.de/product_info.php/info/p16856_Engstler--5-Laub-geflammt-25cm--522-22-Q.html,99,"26,5","3,5","3,170,725","3804,87",
